strategy,n,iteration,mean_ms,p50_ms,p95_ms,p99_ms,stddev_ms,total_ms,per_task_ms,success_count,error_count
batched_update,10.00,1.000,7.674,7.674,7.674,7.674,0.000,7.674,0.767,0.000,10.00
bulk_rpc,10.00,1.000,5.816,5.816,5.816,5.816,0.000,5.816,0.582,10.00,0.000
parallel_rpc,10.00,1.000,47.57,47.57,47.57,47.57,0.000,47.57,4.757,10.00,0.000
sequential_rpc,10.00,1.000,227.5,227.5,227.5,227.5,0.000,227.5,22.75,10.00,0.000
