strategy,n,iteration,mean_ms,p50_ms,p95_ms,p99_ms,stddev_ms,total_ms,per_task_ms,success_count,error_count
batched_update,10.00,2.000,8.791,8.791,11.42,11.66,2.923,8.791,0.879,20.00,0.000
batched_update,50.00,2.000,14.43,14.43,14.52,14.52,0.090,14.43,0.289,100.0,0.000
bulk_rpc,10.00,2.000,5.484,5.484,6.208,6.272,0.804,5.484,0.548,20.00,0.000
bulk_rpc,50.00,2.000,7.749,7.749,7.849,7.858,0.111,7.749,0.155,100.0,0.000
parallel_rpc,10.00,2.000,17.20,17.20,23.86,24.45,7.404,17.20,1.720,20.00,0.000
parallel_rpc,50.00,2.000,40.34,40.34,41.96,42.10,1.802,40.34,0.807,100.0,0.000
sequential_rpc,10.00,2.000,37.68,37.68,38.61,38.69,1.029,37.68,3.768,20.00,0.000
sequential_rpc,50.00,2.000,131.7,131.7,160.1,162.6,31.58,131.7,2.633,100.0,0.000
