strategy,n,iteration,total_ms,per_task_ms,success_count,error_count
sequential_rpc,10.00,0.000,106.0,10.60,10.00,0.000
sequential_rpc,10.00,1.000,135.4,13.54,10.00,0.000
sequential_rpc,50.00,0.000,511.9,10.24,50.00,0.000
sequential_rpc,50.00,1.000,169.7,3.394,50.00,0.000
parallel_rpc,10.00,0.000,32.12,3.212,10.00,0.000
parallel_rpc,10.00,1.000,20.18,2.018,10.00,0.000
parallel_rpc,50.00,0.000,70.47,1.409,50.00,0.000
parallel_rpc,50.00,1.000,38.41,0.768,50.00,0.000
batched_update,10.00,0.000,4.721,0.472,0.000,10.00
batched_update,10.00,1.000,3.855,0.385,0.000,10.00
batched_update,50.00,0.000,5.920,0.118,0.000,50.00
batched_update,50.00,1.000,9.978,0.200,0.000,50.00
bulk_rpc,10.00,0.000,5.017,0.502,10.00,0.000
bulk_rpc,10.00,1.000,5.776,0.578,10.00,0.000
bulk_rpc,50.00,0.000,7.802,0.156,50.00,0.000
bulk_rpc,50.00,1.000,11.68,0.234,50.00,0.000
