strategy,n,iteration,mean_ms,p50_ms,p95_ms,p99_ms,stddev_ms,total_ms,per_task_ms,success_count,error_count
batched_update,10.00,2.000,4.288,4.288,4.677,4.712,0.433,4.288,0.429,0.000,20.00
batched_update,50.00,2.000,7.949,7.949,9.775,9.938,2.029,7.949,0.159,0.000,100.0
bulk_rpc,10.00,2.000,5.396,5.396,5.738,5.768,0.379,5.396,0.540,20.00,0.000
bulk_rpc,50.00,2.000,9.743,9.743,11.49,11.65,1.941,9.743,0.195,100.0,0.000
parallel_rpc,10.00,2.000,26.15,26.15,31.52,32.00,5.971,26.15,2.615,20.00,0.000
parallel_rpc,50.00,2.000,54.44,54.44,68.87,70.15,16.03,54.44,1.089,100.0,0.000
sequential_rpc,10.00,2.000,120.7,120.7,134.0,135.1,14.70,120.7,12.07,20.00,0.000
sequential_rpc,50.00,2.000,340.8,340.8,494.7,508.4,171.1,340.8,6.816,100.0,0.000
